Sample	File1	File2
CTauTzN_3171	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280178/FP200000283TL_L01_34_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280178/FP200000283TL_L01_34_2.fq.gz
CTauTzN_3172	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280179/FP200000283TL_L01_35_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280179/FP200000283TL_L01_35_2.fq.gz
CTauTzN_4275	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080449/FP200000264TL_L01_512_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210123_SEQ043_FP200000264TL_L01_SP2101080449/FP200000264TL_L01_512_2.fq.gz
CTauTzN_4276	/jbod1/seqAfrica/raw/disk2/210127_SEQ044_FP200000259BR_L01_SP2101080450/FP200000259BR_L01_513_1.fq.gz	/jbod1/seqAfrica/raw/disk2/210127_SEQ044_FP200000259BR_L01_SP2101080450/FP200000259BR_L01_513_2.fq.gz
CTauTzN_4278	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280169/FP200000283TL_L01_25_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280169/FP200000283TL_L01_25_2.fq.gz
CTauTzN_4278	/jbod1/seqAfrica/raw/disk4/210306_SEQ024_FP100002289BR_L01_SP2101280169/FP100002289BR_L01_25_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210306_SEQ024_FP100002289BR_L01_SP2101280169/FP100002289BR_L01_25_2.fq.gz
CTauTzN_4279	/jbod1/seqAfrica/raw/disk4/210127_SEQ044_FP200000259BR_L01_SP2101080451/FP200000259BR_L01_514_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210127_SEQ044_FP200000259BR_L01_SP2101080451/FP200000259BR_L01_514_2.fq.gz
CTauTzN_4498	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280170/FP200000283TL_L01_26_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280170/FP200000283TL_L01_26_2.fq.gz
CTauTzN_4499	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280171/FP200000283TL_L01_117_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280171/FP200000283TL_L01_117_2.fq.gz
CTauTzN_4499	/jbod1/seqAfrica/raw/disk4/210306_SEQ024_FP100002290BR_L01_SP2101280171/FP100002290BR_L01_117_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210306_SEQ024_FP100002290BR_L01_SP2101280171/FP100002290BR_L01_117_2.fq.gz
CTauTzN_4501	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280172/FP200000283TL_L01_28_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210222_SEQ043_FP200000283TL_L01_SP2101280172/FP200000283TL_L01_28_2.fq.gz
CTauTzN_4501	/jbod1/seqAfrica/raw/disk4/210306_SEQ024_FP100002289BR_L01_SP2101280172/FP100002289BR_L01_28_1.fq.gz	/jbod1/seqAfrica/raw/disk4/210306_SEQ024_FP100002289BR_L01_SP2101280172/FP100002289BR_L01_28_2.fq.gz
